from club,to club,player name,age,position,fee,transfer type,period,year,season
Southampton FC,West Bromwich Albion,Pelé,20,Central Midfield,1.35M,sold,Summer,2007,2007/2008
Vit. Guimarães,FC Internazionale,Pelé,20,Central Midfield,1.8M,sold,Summer,2007,2007/2008
Vitória Guimarães SC,FC Internazionale,Pelé,20,Central Midfield,1.8M,sold,Summer,2007,2007/2008
FC Internazionale,FC Porto,Pelé,21,Central Midfield,5.4M,sold,Summer,2008,2008/2009
FC Internazionale,FC Porto,Pelé,21,Central Midfield,5.4M,sold,Summer,2008,2008/2009
FC Porto,Portsmouth FC,Pelé,21,Central Midfield,0.585M,on loan,Winter,2008,2008/2009
FC Porto,Portsmouth FC,Pelé,21,Central Midfield,0.585M,on loan,Winter,2008,2008/2009
FC Porto,Real Valladolid CF,Pelé,22,Central Midfield,NA,on loan,Summer,2009,2009/2010
FC Porto,Real Valladolid CF,Pelé,22,Central Midfield,NA,on loan,Summer,2009,2009/2010
Portsmouth FC,FC Porto,Pelé,22,Central Midfield,NA,on loan,Summer,2009,2009/2010
Portsmouth FC,FC Porto,Pelé,22,Central Midfield,NA,on loan,Summer,2009,2009/2010
West Bromwich Albion,Without Club,Pelé,22,Central Midfield,NA,sold,Summer,2009,2009/2010
FC Porto,Eskisehirspor,Pelé,23,Central Midfield,0.612M,sold,Summer,2010,2010/2011
Real Valladolid CF,FC Porto,Pelé,23,Central Midfield,NA,on loan,Summer,2010,2010/2011
Belenenses SAD,AC Milan,Pelé,24,Central Midfield,0.27M,sold,Summer,2011,2011/2012
AC Milan,Arsenal Kyiv,Pelé,25,Central Midfield,NA,on loan,Summer,2012,2012/2013
AC Milan,SC Olhanense,Pelé,26,Central Midfield,NA,on loan,Summer,2013,2013/2014
AC Milan,SC Olhanense,Pelé,26,Central Midfield,NA,on loan,Summer,2013,2013/2014
AC Milan,Belenenses SAD,Pelé,27,Central Midfield,NA,on loan,Summer,2014,2014/2015
AC Milan,SL Benfica,Pelé,28,Central Midfield,NA,sold,Summer,2015,2015/2016
AC Milan,SL Benfica,Pelé,28,Central Midfield,NA,sold,Summer,2015,2015/2016
SL Benfica,FC Paços de Ferreira,Pelé,28,Central Midfield,NA,on loan,Summer,2015,2015/2016
SL Benfica,Paços Ferreira,Pelé,28,Central Midfield,NA,on loan,Summer,2015,2015/2016
Benfica B,CD Feirense,Pelé,29,Central Midfield,NA,on loan,Winter,2016,2016/2017
FC Paços de Ferreira,SL Benfica,Pelé,29,Central Midfield,NA,on loan,Summer,2016,2016/2017
Paços Ferreira,SL Benfica,Pelé,29,Central Midfield,NA,on loan,Summer,2016,2016/2017
SL Benfica,Benfica B,Pelé,29,Central Midfield,NA,sold,Summer,2016,2016/2017
Benfica B,Rio Ave FC,Pelé,30,Central Midfield,NA,sold,Summer,2017,2017/2018
CD Feirense,Benfica B,Pelé,30,Central Midfield,NA,on loan,Summer,2017,2017/2018
AS Monaco,Nottingham Forest,Pelé,31,Central Midfield,NA,on loan,Winter,2018,2018/2019
AS Monaco,Nottm Forest,Pelé,31,Central Midfield,NA,on loan,Winter,2018,2018/2019
Rio Ave FC,AS Monaco,Pelé,31,Central Midfield,6.48M,sold,Summer,2018,2018/2019
Rio Ave FC,AS Monaco,Pelé,31,Central Midfield,6.48M,sold,Summer,2018,2018/2019
AS Monaco,Reading FC,Pelé,32,Central Midfield,NA,on loan,Summer,2019,2019/2020
AS Monaco,Reading FC,Pelé,32,Central Midfield,NA,on loan,Summer,2019,2019/2020
Nottingham Forest,AS Monaco,Pelé,32,Central Midfield,NA,on loan,Summer,2019,2019/2020
Nottm Forest,AS Monaco,Pelé,32,Central Midfield,NA,on loan,Summer,2019,2019/2020
AS Monaco,Rio Ave FC,Pelé,33,Central Midfield,NA,on loan,Summer,2020,2020/2021
AS Monaco,Rio Ave FC,Pelé,33,Central Midfield,NA,on loan,Summer,2020,2020/2021
Reading FC,AS Monaco,Pelé,33,Central Midfield,NA,on loan,Summer,2020,2020/2021
Reading FC,AS Monaco,Pelé,33,Central Midfield,NA,on loan,Summer,2020,2020/2021
Rio Ave FC,AS Monaco,Pelé,34,Central Midfield,NA,on loan,Summer,2021,2021/2022
Derby U18,Derby County,Lee Camp,18,Goalkeeper,NA,sold,all-year,2002,2002/2003
Burton Albion,Derby County,Lee Camp,19,Goalkeeper,NA,on loan,all-year,2003,2003/2004
Derby County,Burton Albion,Lee Camp,19,Goalkeeper,NA,on loan,all-year,2003,2003/2004
Derby County,QPR U18,Lee Camp,19,Goalkeeper,NA,on loan,all-year,2003,2003/2004
Derby County,Queens Park Rangers,Lee Camp,19,Goalkeeper,NA,on loan,all-year,2003,2003/2004
QPR U18,Derby County,Lee Camp,19,Goalkeeper,NA,on loan,all-year,2003,2003/2004
Queens Park Rangers,Derby County,Lee Camp,19,Goalkeeper,NA,on loan,all-year,2003,2003/2004
Derby County,Norwich City,Lee Camp,22,Goalkeeper,NA,on loan,Summer,2006,2006/2007
Derby County,Norwich City,Lee Camp,22,Goalkeeper,NA,on loan,Summer,2006,2006/2007
Derby County,QPR U18,Lee Camp,22,Goalkeeper,NA,on loan,Winter,2006,2006/2007
Derby County,Queens Park Rangers,Lee Camp,22,Goalkeeper,NA,on loan,Winter,2006,2006/2007
Norwich City,Derby County,Lee Camp,22,Goalkeeper,NA,on loan,Winter,2006,2006/2007
Norwich City,Derby County,Lee Camp,22,Goalkeeper,NA,on loan,Winter,2006,2006/2007
QPR U18,Derby County,Lee Camp,22,Goalkeeper,NA,on loan,Winter,2006,2006/2007
Queens Park Rangers,Derby County,Lee Camp,22,Goalkeeper,NA,on loan,Winter,2006,2006/2007
Derby County,QPR U18,Lee Camp,23,Goalkeeper,0.405M,sold,Summer,2007,2007/2008
Derby County,Queens Park Rangers,Lee Camp,23,Goalkeeper,0.405M,sold,Summer,2007,2007/2008
Nottingham Forest,QPR U18,Lee Camp,24,Goalkeeper,NA,on loan,Winter,2008,2008/2009
Nottm Forest,Queens Park Rangers,Lee Camp,24,Goalkeeper,NA,on loan,Winter,2008,2008/2009
QPR U18,Nottingham Forest,Lee Camp,24,Goalkeeper,NA,on loan,Summer,2008,2008/2009
Queens Park Rangers,Nottm Forest,Lee Camp,24,Goalkeeper,NA,on loan,Summer,2008,2008/2009
QPR U18,Nottingham Forest,Lee Camp,25,Goalkeeper,0.117M,sold,Summer,2009,2009/2010
Queens Park Rangers,Nottm Forest,Lee Camp,25,Goalkeeper,0.117M,sold,Summer,2009,2009/2010
Nottingham Forest,Norwich City,Lee Camp,28,Goalkeeper,NA,sold,Winter,2012,2012/2013
Nottm Forest,Norwich City,Lee Camp,28,Goalkeeper,NA,sold,Winter,2012,2012/2013
AFC Bournemouth,West Bromwich Albion,Lee Camp,29,Goalkeeper,NA,on loan,Winter,2013,2013/2014
AFC Bournemouth,West Bromwich Albion,Lee Camp,29,Goalkeeper,NA,on loan,Winter,2013,2013/2014
Norwich City,Without Club,Lee Camp,29,Goalkeeper,NA,sold,Summer,2013,2013/2014
West Bromwich Albion,AFC Bournemouth,Lee Camp,29,Goalkeeper,NA,on loan,Summer,2013,2013/2014
West Bromwich Albion,AFC Bournemouth,Lee Camp,29,Goalkeeper,NA,on loan,Summer,2013,2013/2014
West Bromwich Albion,AFC Bournemouth,Lee Camp,29,Goalkeeper,NA,sold,Winter,2013,2013/2014
West Bromwich Albion,AFC Bournemouth,Lee Camp,29,Goalkeeper,NA,sold,Winter,2013,2013/2014
Without Club,West Bromwich Albion,Lee Camp,29,Goalkeeper,NA,sold,Summer,2013,2013/2014
AFC Bournemouth,Rotherham United,Lee Camp,31,Goalkeeper,NA,sold,Summer,2015,2015/2016
AFC Bournemouth,Rotherham United,Lee Camp,31,Goalkeeper,NA,sold,Summer,2015,2015/2016
Cardiff City,Sunderland AFC,Lee Camp,33,Goalkeeper,NA,on loan,Winter,2017,2017/2018
Cardiff City,Sunderland AFC,Lee Camp,33,Goalkeeper,NA,on loan,Winter,2017,2017/2018
Rotherham United,Cardiff City,Lee Camp,33,Goalkeeper,NA,sold,Summer,2017,2017/2018
Sunderland AFC,Cardiff City,Lee Camp,33,Goalkeeper,NA,on loan,Summer,2017,2017/2018
Sunderland AFC,Cardiff City,Lee Camp,33,Goalkeeper,NA,on loan,Summer,2017,2017/2018
Cardiff City,Birmingham City,Lee Camp,34,Goalkeeper,NA,sold,Summer,2018,2018/2019
Cardiff City,Birmingham City,Lee Camp,34,Goalkeeper,NA,sold,Summer,2018,2018/2019
Birmingham City,Without Club,Lee Camp,36,Goalkeeper,NA,sold,Summer,2020,2020/2021
Coventry City,Without Club,Lee Camp,36,Goalkeeper,NA,sold,Winter,2020,2020/2021
Without Club,Coventry City,Lee Camp,36,Goalkeeper,NA,sold,Winter,2020,2020/2021
SL Benfica,SC Bastia,William,13,Left-Back,NA,sold,Summer,1995,1995/1996
SL Benfica,SC Bastia,William,13,Left-Back,NA,sold,Summer,1995,1995/1996
SC Bastia,SD Compostela,William,14,Left-Back,NA,sold,Summer,1996,1996/1997
SC Bastia,SD Compostela,William,14,Left-Back,NA,sold,Summer,1996,1996/1997
EC Vitória,Boavista FC,William,16,Left-Back,NA,sold,Summer,1998,1998/1999
SD Compostela,Vitória Guimarães SC,William,18,Left-Back,NA,sold,Summer,2000,2000/2001
Vit. Guimarães,Celta de Vigo,William,19,Left-Back,NA,sold,Winter,2001,2001/2002
Vitória Guimarães SC,Celta de Vigo,William,19,Left-Back,NA,sold,Winter,2001,2001/2002
Celta de Vigo,Retired,William,20,Left-Back,NA,sold,Summer,2002,2002/2003
Académica Coimbra,CD Fátima,William,22,Left-Back,NA,on loan,Winter,2004,2004/2005
EC São José,Académica Coimbra,William,22,Left-Back,NA,sold,Summer,2004,2004/2005
Académica Coimbra,SC Braga,William,23,Left-Back,NA,sold,Summer,2005,2005/2006
Académica Coimbra,SC Braga,William,23,Left-Back,NA,sold,Summer,2005,2005/2006
Boavista FC,Coritiba FC,William,23,Left-Back,NA,sold,Winter,2005,2005/2006
CD Fátima,Académica Coimbra,William,23,Left-Back,NA,on loan,Summer,2005,2005/2006
Santos FC,Boavista FC,William,23,Left-Back,NA,sold,Summer,2005,2005/2006
SC Braga,Gil Vicente FC,William,24,Left-Back,NA,on loan,Summer,2006,2006/2007
Boavista FC,CD Feirense,William,25,Left-Back,NA,sold,Summer,2007,2007/2008
Cabofriense,FC Paços de Ferreira,William,25,Left-Back,NA,sold,Winter,2007,2007/2008
Gil Vicente FC,SC Braga,William,25,Left-Back,NA,on loan,Summer,2007,2007/2008
SC Braga,H. Ramat Gan,William,25,Left-Back,NA,sold,Summer,2007,2007/2008
OFK Beograd,Amkar Perm,William,26,Left-Back,0.18M,sold,Winter,2008,2008/2009
Amkar Perm,Shinnik Yaroslavl,William,27,Left-Back,NA,on loan,Winter,2009,2009/2010
FC Paços de Ferreira,Anzhi Makhachkala,William,27,Left-Back,NA,sold,Winter,2009,2009/2010
Paços Ferreira,Anzhi Makhachkala,William,27,Left-Back,NA,sold,Winter,2009,2009/2010
Amkar Perm,Dinamo Bryansk,William,28,Left-Back,NA,sold,Summer,2010,2010/2011
Anzhi Makhachkala,Vit. Guimarães,William,28,Left-Back,NA,sold,Summer,2010,2010/2011
Anzhi Makhachkala,Vitória Guimarães SC,William,28,Left-Back,NA,sold,Summer,2010,2010/2011
Shinnik Yaroslavl,Amkar Perm,William,28,Left-Back,NA,on loan,Summer,2010,2010/2011
Vit. Guimarães,Vitória Setúbal FC,William,28,Left-Back,NA,on loan,Winter,2010,2010/2011
Vitória Guimarães SC,Vitória Setúbal FC,William,28,Left-Back,NA,on loan,Winter,2010,2010/2011
FC Paços de Ferreira,Vit. Guimarães,William,29,Left-Back,NA,on loan,Winter,2011,2011/2012
Paços Ferreira,Vitória Guimarães SC,William,29,Left-Back,NA,on loan,Winter,2011,2011/2012
Vit. Guimarães,FC Paços de Ferreira,William,29,Left-Back,NA,on loan,Summer,2011,2011/2012
Vitória Guimarães SC,Olaria AC,William,29,Left-Back,NA,sold,Winter,2011,2011/2012
Vitória Guimarães SC,Paços Ferreira,William,29,Left-Back,NA,on loan,Summer,2011,2011/2012
Vitória Setúbal FC,Vit. Guimarães,William,29,Left-Back,NA,on loan,Summer,2011,2011/2012
Vitória Setúbal FC,Vitória Guimarães SC,William,29,Left-Back,NA,on loan,Summer,2011,2011/2012
FK Ufa,Retired,William,32,Left-Back,NA,sold,Winter,2014,2014/2015
Kayserispor,GD Chaves,William,34,Left-Back,NA,sold,Summer,2016,2016/2017
Internacional,VfL Wolfsburg,William,35,Left-Back,4.5M,sold,Summer,2017,2017/2018
VfL Wolfsburg,FC Schalke 04,William,38,Left-Back,NA,on loan,Winter,2020,2020/2021
VfL Wolfsburg,FC Schalke 04,William,38,Left-Back,NA,on loan,Winter,2020,2020/2021
FC Schalke 04,VfL Wolfsburg,William,39,Left-Back,NA,on loan,Summer,2021,2021/2022
UNAM Pumas,Atlético Madrid,Luis García,23,Forward,NA,sold,Summer,1992,1992/1993
Atlético Madrid,Real Sociedad,Luis García,25,Forward,NA,sold,Summer,1994,1994/1995
Atlético Madrid,Real Sociedad,Luis García,25,Forward,NA,sold,Summer,1994,1994/1995
Real Sociedad,América,Luis García,26,Forward,NA,sold,Summer,1995,1995/1996
FC Barcelona,Real Valladolid CF,Luis García,29,Forward,NA,on loan,Winter,1998,1998/1999
FC Barcelona,Real Valladolid CF,Luis García,29,Forward,NA,on loan,Winter,1998,1998/1999
FC Barcelona B,FC Barcelona,Luis García,29,Forward,NA,sold,Summer,1998,1998/1999
FC Barcelona,CD Toledo,Luis García,30,Forward,NA,on loan,Summer,1999,1999/2000
Real Valladolid CF,FC Barcelona,Luis García,30,Forward,NA,on loan,Summer,1999,1999/2000
Real Valladolid CF,FC Barcelona,Luis García,30,Forward,NA,on loan,Summer,1999,1999/2000
CD Toledo,FC Barcelona,Luis García,31,Forward,NA,on loan,Summer,2000,2000/2001
FC Barcelona,CD Tenerife,Luis García,31,Forward,NA,on loan,Summer,2000,2000/2001
CD Tenerife,FC Barcelona,Luis García,32,Forward,NA,on loan,Summer,2001,2001/2002
CD Tenerife,FC Barcelona,Luis García,32,Forward,NA,on loan,Summer,2001,2001/2002
FC Barcelona,Real Valladolid CF,Luis García,32,Forward,NA,on loan,Summer,2001,2001/2002
FC Barcelona,Real Valladolid CF,Luis García,32,Forward,NA,on loan,Summer,2001,2001/2002
FC Barcelona,Atlético Madrid,Luis García,33,Forward,NA,on loan,Summer,2002,2002/2003
FC Barcelona,Atlético Madrid,Luis García,33,Forward,NA,on loan,Summer,2002,2002/2003
Real Valladolid CF,FC Barcelona,Luis García,33,Forward,NA,on loan,Summer,2002,2002/2003
Real Valladolid CF,FC Barcelona,Luis García,33,Forward,NA,on loan,Summer,2002,2002/2003
Atlético Madrid,FC Barcelona,Luis García,34,Forward,NA,on loan,Summer,2003,2003/2004
Atlético Madrid,FC Barcelona,Luis García,34,Forward,NA,on loan,Summer,2003,2003/2004
Real Madrid B,Real Murcia CF,Luis García,34,Forward,NA,sold,Summer,2003,2003/2004
CD Numancia,Real Zaragoza,Luis García,35,Forward,0.405M,sold,Summer,2004,2004/2005
CD Numancia,Real Zaragoza,Luis García,35,Forward,0.405M,sold,Summer,2004,2004/2005
FC Barcelona,Liverpool FC,Luis García,35,Forward,7.88M,sold,Summer,2004,2004/2005
FC Barcelona,Liverpool FC,Luis García,35,Forward,7.88M,sold,Summer,2004,2004/2005
Real Murcia CF,RCD Mallorca,Luis García,35,Forward,NA,sold,Summer,2004,2004/2005
RCD Mallorca,RCD Espanyol Barcelona,Luis García,36,Forward,2.7M,sold,Summer,2005,2005/2006
RCD Mallorca,RCD Espanyol Barcelona,Luis García,36,Forward,2.7M,sold,Summer,2005,2005/2006
Real Zaragoza,Getafe CF,Luis García,36,Forward,NA,sold,Summer,2005,2005/2006
Real Zaragoza,Getafe CF,Luis García,36,Forward,NA,sold,Summer,2005,2005/2006
Getafe CF,Celta de Vigo,Luis García,38,Forward,NA,on loan,Winter,2007,2007/2008
Liverpool FC,Atlético Madrid,Luis García,38,Forward,3.6M,sold,Summer,2007,2007/2008
Liverpool FC,Atlético de Madrid,Luis García,38,Forward,3.6M,sold,Summer,2007,2007/2008
Celta de Vigo,Getafe CF,Luis García,39,Forward,NA,on loan,Summer,2008,2008/2009
Getafe CF,CD Tenerife,Luis García,39,Forward,NA,sold,Summer,2008,2008/2009
Atlético Madrid,Racing Santander,Luis García,40,Forward,NA,sold,Summer,2009,2009/2010
Atlético de Madrid,Racing Santander,Luis García,40,Forward,NA,sold,Summer,2009,2009/2010
Racing Santander,Panathinaikos,Luis García,41,Forward,NA,sold,Summer,2010,2010/2011
RCD Espanyol Barcelona,Real Zaragoza,Luis García,42,Forward,0.9M,sold,Summer,2011,2011/2012
RCD Espanyol Barcelona,Real Zaragoza,Luis García,42,Forward,0.9M,sold,Summer,2011,2011/2012
Real Zaragoza,Tigres UANL,Luis García,43,Forward,NA,on loan,Summer,2012,2012/2013
Boro U18,Middlesbrough FC,Danny Graham,18,Centre-Forward,NA,sold,Summer,2003,2003/2004
Boro U18,Middlesbrough FC,Danny Graham,18,Centre-Forward,NA,sold,all-year,2003,2003/2004
Darlington,Middlesbrough FC,Danny Graham,18,Centre-Forward,NA,on loan,Summer,2003,2003/2004
Darlington,Middlesbrough FC,Danny Graham,18,Centre-Forward,NA,on loan,all-year,2003,2003/2004
Middlesbrough FC,Darlington,Danny Graham,18,Centre-Forward,NA,on loan,Winter,2003,2003/2004
Middlesbrough FC,Darlington,Danny Graham,18,Centre-Forward,NA,on loan,all-year,2003,2003/2004
Derby County,Middlesbrough FC,Danny Graham,20,Centre-Forward,NA,on loan,Winter,2005,2005/2006
Derby County,Middlesbrough FC,Danny Graham,20,Centre-Forward,NA,on loan,Winter,2005,2005/2006
Leeds United,Middlesbrough FC,Danny Graham,20,Centre-Forward,NA,on loan,Summer,2005,2005/2006
Leeds United,Middlesbrough FC,Danny Graham,20,Centre-Forward,NA,on loan,Summer,2005,2005/2006
Middlesbrough FC,Derby County,Danny Graham,20,Centre-Forward,NA,on loan,Winter,2005,2005/2006
Middlesbrough FC,Derby County,Danny Graham,20,Centre-Forward,NA,on loan,Winter,2005,2005/2006
Middlesbrough FC,Leeds United,Danny Graham,20,Centre-Forward,NA,on loan,Winter,2005,2005/2006
Middlesbrough FC,Leeds United,Danny Graham,20,Centre-Forward,NA,on loan,Winter,2005,2005/2006
Blackpool FC,Middlesbrough FC,Danny Graham,21,Centre-Forward,NA,on loan,Summer,2006,2006/2007
Carlisle United,Middlesbrough FC,Danny Graham,21,Centre-Forward,NA,on loan,Winter,2006,2006/2007
Middlesbrough FC,Blackpool FC,Danny Graham,21,Centre-Forward,NA,on loan,Summer,2006,2006/2007
Middlesbrough FC,Carlisle United,Danny Graham,21,Centre-Forward,NA,on loan,Winter,2006,2006/2007
Middlesbrough FC,Carlisle United,Danny Graham,22,Centre-Forward,NA,sold,Summer,2007,2007/2008
Carlisle United,Watford FC,Danny Graham,24,Centre-Forward,NA,sold,Summer,2009,2009/2010
Watford FC,Swansea City,Danny Graham,26,Centre-Forward,3.51M,sold,Summer,2011,2011/2012
Watford FC,Swansea City,Danny Graham,26,Centre-Forward,3.51M,sold,Summer,2011,2011/2012
Swansea City,Sunderland AFC,Danny Graham,27,Centre-Forward,5.22M,sold,Winter,2012,2012/2013
Swansea City,Sunderland AFC,Danny Graham,27,Centre-Forward,5.22M,sold,Winter,2012,2012/2013
Hull City,Sunderland AFC,Danny Graham,28,Centre-Forward,NA,on loan,Winter,2013,2013/2014
Hull City,Sunderland AFC,Danny Graham,28,Centre-Forward,NA,on loan,Winter,2013,2013/2014
Middlesbrough FC,Sunderland AFC,Danny Graham,28,Centre-Forward,NA,on loan,Summer,2013,2013/2014
Middlesbrough FC,Sunderland AFC,Danny Graham,28,Centre-Forward,NA,on loan,Summer,2013,2013/2014
Sunderland AFC,Hull City,Danny Graham,28,Centre-Forward,NA,on loan,Summer,2013,2013/2014
Sunderland AFC,Hull City,Danny Graham,28,Centre-Forward,NA,on loan,Summer,2013,2013/2014
Sunderland AFC,Middlesbrough FC,Danny Graham,28,Centre-Forward,NA,on loan,Winter,2013,2013/2014
Sunderland AFC,Middlesbrough FC,Danny Graham,28,Centre-Forward,NA,on loan,Winter,2013,2013/2014
Sunderland AFC,Wolverhampton Wanderers,Danny Graham,29,Centre-Forward,NA,on loan,Winter,2014,2014/2015
Sunderland AFC,Wolves,Danny Graham,29,Centre-Forward,NA,on loan,Winter,2014,2014/2015
Wolverhampton Wanderers,Sunderland AFC,Danny Graham,29,Centre-Forward,NA,on loan,Winter,2014,2014/2015
Wolves,Sunderland AFC,Danny Graham,29,Centre-Forward,NA,on loan,Winter,2014,2014/2015
Sunderland AFC,Blackburn Rovers,Danny Graham,30,Centre-Forward,NA,on loan,Winter,2015,2015/2016
Sunderland AFC,Blackburn Rovers,Danny Graham,30,Centre-Forward,NA,on loan,Winter,2015,2015/2016
Blackburn Rovers,Sunderland AFC,Danny Graham,31,Centre-Forward,NA,on loan,Summer,2016,2016/2017
Blackburn Rovers,Sunderland AFC,Danny Graham,31,Centre-Forward,NA,on loan,Summer,2016,2016/2017
Sunderland AFC,Blackburn Rovers,Danny Graham,31,Centre-Forward,NA,sold,Summer,2016,2016/2017
Sunderland AFC,Blackburn Rovers,Danny Graham,31,Centre-Forward,NA,sold,Summer,2016,2016/2017
Blackburn Rovers,Sunderland AFC,Danny Graham,35,Centre-Forward,NA,sold,Summer,2020,2020/2021
Aston Villa U18,Bristol City,Stephen Henderson,19,Goalkeeper,NA,sold,Summer,2007,2007/2008
Bristol City,Weymouth FC,Stephen Henderson,19,Goalkeeper,NA,on loan,Winter,2007,2007/2008
Bristol City,York City,Stephen Henderson,19,Goalkeeper,NA,on loan,Summer,2007,2007/2008
Weymouth FC,Bristol City,Stephen Henderson,19,Goalkeeper,NA,on loan,Winter,2007,2007/2008
York City,Bristol City,Stephen Henderson,19,Goalkeeper,NA,on loan,Summer,2007,2007/2008
Aldershot Town,Bristol City,Stephen Henderson,21,Goalkeeper,NA,on loan,Winter,2009,2009/2010
Bristol City,Aldershot Town,Stephen Henderson,21,Goalkeeper,NA,on loan,Winter,2009,2009/2010
Bristol City,Wycombe Wanderers,Stephen Henderson,21,Goalkeeper,NA,on loan,Winter,2009,2009/2010
Wycombe Wanderers,Bristol City,Stephen Henderson,21,Goalkeeper,NA,on loan,Winter,2009,2009/2010
Bristol City,Yeovil Town,Stephen Henderson,22,Goalkeeper,NA,on loan,Summer,2010,2010/2011
Bristol City,Yeovil Town,Stephen Henderson,22,Goalkeeper,NA,on loan,Winter,2010,2010/2011
Yeovil Town,Bristol City,Stephen Henderson,22,Goalkeeper,NA,on loan,Summer,2010,2010/2011
Yeovil Town,Bristol City,Stephen Henderson,22,Goalkeeper,NA,on loan,Summer,2010,2010/2011
Bristol City,Portsmouth FC,Stephen Henderson,23,Goalkeeper,0.167M,sold,Summer,2011,2011/2012
Bristol City,Portsmouth FC,Stephen Henderson,23,Goalkeeper,0.167M,sold,Summer,2011,2011/2012
Portsmouth FC,West Ham United,Stephen Henderson,23,Goalkeeper,NA,on loan,Winter,2011,2011/2012
Portsmouth FC,West Ham United,Stephen Henderson,23,Goalkeeper,NA,on loan,Winter,2011,2011/2012
West Ham United,Portsmouth FC,Stephen Henderson,23,Goalkeeper,NA,on loan,Summer,2011,2011/2012
West Ham United,Portsmouth FC,Stephen Henderson,23,Goalkeeper,NA,on loan,Summer,2011,2011/2012
Ipswich Town,West Ham United,Stephen Henderson,24,Goalkeeper,NA,on loan,Winter,2012,2012/2013
Ipswich Town,West Ham United,Stephen Henderson,24,Goalkeeper,NA,on loan,Winter,2012,2012/2013
Ipswich Town,West Ham United,Stephen Henderson,24,Goalkeeper,NA,on loan,Winter,2012,2012/2013
Ipswich Town,West Ham United,Stephen Henderson,24,Goalkeeper,NA,on loan,Winter,2012,2012/2013
Portsmouth FC,West Ham United,Stephen Henderson,24,Goalkeeper,0.671M,sold,Summer,2012,2012/2013
West Ham United,Ipswich Town,Stephen Henderson,24,Goalkeeper,NA,on loan,Summer,2012,2012/2013
West Ham United,Ipswich Town,Stephen Henderson,24,Goalkeeper,NA,on loan,Summer,2012,2012/2013
West Ham United,Ipswich Town,Stephen Henderson,24,Goalkeeper,NA,on loan,Winter,2012,2012/2013
West Ham United,Ipswich Town,Stephen Henderson,24,Goalkeeper,NA,on loan,Winter,2012,2012/2013
AFC Bournemouth,West Ham United,Stephen Henderson,25,Goalkeeper,NA,on loan,Summer,2013,2013/2014
AFC Bournemouth,West Ham United,Stephen Henderson,25,Goalkeeper,NA,on loan,Summer,2013,2013/2014
West Ham United,AFC Bournemouth,Stephen Henderson,25,Goalkeeper,NA,on loan,Summer,2013,2013/2014
West Ham United,AFC Bournemouth,Stephen Henderson,25,Goalkeeper,NA,on loan,Summer,2013,2013/2014
West Ham United,Charlton Athletic,Stephen Henderson,26,Goalkeeper,NA,sold,Summer,2014,2014/2015
West Ham United,Charlton Athletic,Stephen Henderson,26,Goalkeeper,NA,sold,Summer,2014,2014/2015
Charlton Athletic,Nottingham Forest,Stephen Henderson,28,Goalkeeper,NA,sold,Summer,2016,2016/2017
Nottingham Forest,Portsmouth FC,Stephen Henderson,29,Goalkeeper,NA,on loan,Winter,2017,2017/2018
Portsmouth FC,Nottingham Forest,Stephen Henderson,29,Goalkeeper,NA,on loan,Summer,2017,2017/2018
Nottingham Forest,Wycombe Wanderers,Stephen Henderson,30,Goalkeeper,NA,on loan,Winter,2018,2018/2019
Wycombe Wanderers,Nottingham Forest,Stephen Henderson,30,Goalkeeper,NA,on loan,Winter,2018,2018/2019
Nottingham Forest,Crystal Palace,Stephen Henderson,31,Goalkeeper,NA,sold,Summer,2019,2019/2020
Nottm Forest,Crystal Palace,Stephen Henderson,31,Goalkeeper,NA,sold,Summer,2019,2019/2020
Crystal Palace,Without Club,Stephen Henderson,33,Goalkeeper,NA,sold,Summer,2021,2021/2022
Valencia CF,São Paulo,Leonardo,9,defence,NA,sold,Summer,1993,1993/1994
Kashima Antlers,Paris Saint-Germain,Leonardo,12,defence,NA,sold,Summer,1996,1996/1997
Flamengo,FC Groningen,Leonardo,13,defence,NA,sold,Summer,1997,1997/1998
Paris SG,Milan AC,Leonardo,13,defence,7.65M,sold,Summer,1997,1997/1998
Paris Saint-Germain,Milan AC,Leonardo,13,defence,7.65M,sold,Summer,1997,1997/1998
ABC FC,FC Paços de Ferreira,Leonardo,16,defence,NA,sold,Summer,2000,2000/2001
Feyenoord U19,Feyenoord Rotterdam,Leonardo,16,defence,NA,sold,Summer,2000,2000/2001
FC Groningen,Feyenoord Rotterdam,Leonardo,17,defence,NA,sold,Summer,2001,2001/2002
FC Groningen,Feyenoord Rotterdam,Leonardo,17,defence,NA,sold,Summer,2001,2001/2002
Milan AC,São Paulo,Leonardo,17,defence,NA,sold,Summer,2001,2001/2002
De Graafschap Doetinchem,Feyenoord Rotterdam,Leonardo,18,defence,NA,on loan,Winter,2002,2002/2003
De Graafschap Doetinchem,Feyenoord Rotterdam,Leonardo,18,defence,NA,on loan,Winter,2002,2002/2003
Feyenoord Rotterdam,De Graafschap Doetinchem,Leonardo,18,defence,NA,on loan,Summer,2002,2002/2003
Feyenoord Rotterdam,De Graafschap Doetinchem,Leonardo,18,defence,NA,on loan,Summer,2002,2002/2003
Flamengo,Milan AC,Leonardo,18,defence,NA,sold,Summer,2002,2002/2003
Flamengo,Milan AC,Leonardo,18,defence,NA,sold,Winter,2002,2002/2003
Milan AC,Retired,Leonardo,18,defence,NA,sold,Winter,2002,2002/2003
América-MG,Belenenses SAD,Leonardo,19,defence,NA,sold,Summer,2003,2003/2004
