Club name,Country,League,Total Market Value (in M),Squad size,Average age,Number of national team players
Lanusei,Italy,Serie D - Girone G,500,20,22.7,5
Lanús,Argentina,Copa de la Liga Profesional de Fútbol,41.99,23,25.8,0
Larne FC,Northern Ireland,Danske Bank Premiership,2.09,26,25.5,11
Las Palmas Atl.,Spain,Segunda División R.F.E.F. - Grupo IV,1.82,22,22.2,0
Las Rozas CF,Spain,Segunda División B - Fase de descenso,585,20,25.8,2
Lascaris,Italy,,,3,34.3,0
Latina Calcio,Italy,Serie C - Girone C,2.66,24,24.3,3
Latte Dolce,Italy,Serie D - Girone G,594,25,23.1,2
Lausanne-S.,,,,,,
Lausanne-Sport,Switzerland,Super League,18.47,32,24.3,22
Lavagnese,Italy,Serie D - Girone A,707,31,22.1,1
Lazio Youth,Italy,,,9,15.6,0
Le Mans FC,France,Championnat National,5.94,25,24.6,9
Le Mans UC 72,,,,,,
Le Mans Union Club 72,,,,,,
Le Mont LS,Switzerland,Challenge League,,2,27.5,1
Le Pontet,France,Championnat National 2 - Groupe D,,9,30.7,2
Le Puy Foot,France,Championnat National 2 - Groupe D,1.46,25,25.0,5
Leamington,England,National League North,,21,28.3,1
Leatherhead FC,England,FA Cup,158,14,25.1,2
Lecco Giovanili,Italy,,,0,,
Lecco,Italy,Serie C - Girone A,3.56,28,24.1,6
Lech Poznan,Poland,PKO Ekstraklasa,34.11,34,24.5,14
Lechia Gdansk,Poland,PKO Ekstraklasa,14.20,27,25.4,14
Leeds Reserves,,,,,,
Leeds United,England,Premier League,238.50,24,24.9,15
Leek Town FC,England,,,15,25.5,3
Legia Warszawa,Poland,PKO Ekstraklasa,22.48,36,24.6,15
Legion Dinamo,Russia,Russian FNL-2 Group 1,2.00,29,22.4,0
Legião,Brazil,,,0,,
Legnago,Italy,Serie C - Girone A,2.95,26,24.9,5
Legnano,Italy,Serie D - Girone B,675,31,22.2,1
Leicester City,England,Premier League,462.42,27,27.0,18
Leicester Res.,,,,,,
Leigh Genesis FC,England,,,19,33.9,1
Leiknir,Iceland,Lengjubikarinn,1.72,28,24.4,7
Leiria Sub-17,Portugal,,,0,,
Leixões SC,Portugal,Liga Portugal 2,4.84,32,24.8,21
Lekhwiya,Qatar,Amir Cup,26.06,27,25.8,5
Lelle SK,Estonia,Premium Liiga,,0,,
Lemona,Spain,Segunda División B - Grupo II (till 20/21),,0,,
Leningradets,Russia,Russian FNL-2 Group 2,3.71,26,24.2,1
Lentigione,Italy,Serie D - Girone D,1.28,24,23.0,2
Leones FC,Colombia,Torneo DIMAYOR I,2.48,30,22.6,0
Leones Negros,Mexico,Liga de Expansión MX Clausura,6.98,24,24.7,3
Leonidas,Netherlands,,,2,21.0,0
Leonzio,Italy,,,1,22.0,0
Les Herbiers VF,France,Championnat National 2 - Groupe D,1.08,25,27.3,6
Lev. Maardu,,,,,,
Levante UD,Spain,LaLiga,78.48,28,28.0,9
Levico Terme,Italy,Serie D - Girone C,707,30,20.4,4
Levski Sofia,Bulgaria,efbet Liga,6.53,23,22.8,7
Lewes,England,FA Cup,113,19,26.8,2
Leyton Orient,England,League Two,2.36,29,24.0,12
Leça FC,Portugal,Taça de Portugal Placard,68,26,25.5,7
León,Italy,Serie A,74.27,30,26.3,21
Liaoning FC,China,,,10,22.2,0
Lib.-St.-Seurin,,,,,,
Libertad,Paraguay,Primera División Apertura,25.52,30,29.7,8
Liberty Prof.,Ghana,Ghana Premier League,720,21,21.0,1
Lienden,Netherlands,Derde Divisie Sunday,,1,29.0,0
Liepaja,Latvia,Virsliga,4.58,23,26.8,11
Lierse Kemp,Belgium,1B Pro League,4.10,22,24.8,5
Lierse SK,Belgium,Jupiler Pro League PlayOff II,,0,,
Ligorna,Italy,Serie D - Girone A,743,27,22.2,2
Lillestrøm SK,Norway,NM-Cup,8.60,28,23.0,9
Limerick FC,Ireland,SSE Airtricity League First Division,,4,22.0,0
Limianos,Portugal,Taça de Portugal Placard,,23,26.0,4
Lincoln City,England,League One,6.62,26,24.0,13
Lincoln United,England,,,9,27.4,0
Linense-SP,Brazil,,180,20,28.0,0
Linfield,Northern Ireland,Danske Bank Premiership,2.43,28,24.6,9
Linköpings FF,Sweden,,,0,,
Linlithgow Rose,Scotland,SFA Cup,,21,25.4,0
Lions F.C. Natitingou,Benin,,,1,39.0,0
Lisburn FC,Northern Ireland,Intermedia,23,34,22.3,0
Lisma-Mordovia,,,,,,
Litex Lovech,Bulgaria,Vtora Liga,1.35,20,23.7,0
Litex Lovetch,Bulgaria,Vtora Liga,1.35,20,23.7,0
Liverpool FC,England,Premier League,800.10,27,27.0,19
Liverpool Res.,,,,,,
Livingston FC,Scotland,Scottish Premiership,7.97,27,26.2,15
Lixa,Portugal,,,8,30.1,2
Ljungskile,Sweden,Ettan Södra,675,23,24.3,10
Llagostera,Spain,Primera División R.F.E.F. - Grupo II,3.76,24,27.6,6
Llanelli,Wales,Welsh Cup,23,21,25.0,2
Llaneros EF,Venezuela,Copa Sudamericana,,21,25.6,2
Lleida Esportiu,Spain,Segunda División R.F.E.F. - Grupo III,1.94,21,23.9,8
Lobi Stars,Nigeria,Nigeria Professional Football League,428,53,26.8,2
Logroñés CF,Spain,Segunda División B - Grupo II (till 20/21),,0,,
Lok Leipzig,Germany,Regionalliga Nordost,1.47,22,25.2,3
Lok. Mezdra,Bulgaria,Vtora Liga,86,30,24.3,0
Lok. Plovdiv,Bulgaria,efbet Liga,5.54,21,25.4,8
Lok. Sofia,Bulgaria,efbet Liga,3.99,26,24.2,7
Lokeren-Temse,Belgium,2de Nationale VFV A,495,24,25.0,2
Loko Astana,Kazakhstan,,,0,,
Loko Chita,,,,,,
Loko Kaluga,Russia,Russian Cup,,0,,
Loko Liski,Russia,Russian FNL-2 Group 3,,12,27.4,0
Loko Moscow,Russia,Premier Liga,71.01,25,24.1,8
Loko N.N.,Russia,,,0,,
Loko Tashkent,Uzbekistan,O'zbekiston Superligasi,4.13,20,25.4,3
Loko Vitebsk,Belarus,Vysheyshaya Liga 1994/95,,0,,
Loko-Kazanka M.,Russia,Russian FNL-2 Group 2,3.47,25,20.1,1
Lokomotiv Moscow,Russia,Premier Liga,71.01,25,24.1,8
Lokomotiv NN,Russia,1.Division,,0,,
Lokomotiv Nizhniy Novgorod,Russia,1.Division,,0,,
Lokomotiv-96,,,,,,
Lokomotivi,,,,,,
Lommel SK,Belgium,1B Pro League,9.38,30,22.5,21
Lommel United,Belgium,,,0,,
Londrina-PR,Brazil,Campeonato Paranaense,4.59,30,25.7,1
Longford Town,Ireland,SSE Airtricity League First Division,405,25,24.1,3
Lorca Dep.,Spain,,,1,17.0,0
Lorca FC,Spain,Copa del Rey,,3,23.7,2
Lornano Badesse,Italy,Serie D - Girone E,891,26,22.2,2
Los Andes,Chile,,608,40,22.9,1
Los Angeles,United States,Major League Soccer,46.87,29,24.4,22
Losone,Switzerland,Swiss Cup qualifiers,,12,27.6,2
Lotto-MKM Moskau,,,,,,
Louh.-Cuiseaux,France,Championnat National 2 - Groupe C,473,21,25.9,7
Louisville City,United States,USL Championship,3.67,26,25.3,6
Louletano,Portugal,Taça de Portugal Placard,113,22,23.2,11
Lourel,Portugal,,,5,25.2,0
Lourinhanense,Portugal,,,6,28.0,3
Lourinhã,Portugal,,,6,28.0,3
Lousanense,Portugal,,,0,,
Lowestoft,England,,,7,28.6,0
Lucchese,Italy,Serie C - Girone B,3.42,28,23.2,3
Luch Vladivostok,Russia,1.Division,,0,,
Ludogorets,Bulgaria,efbet Liga,29.52,25,26.8,18
Ludwigsburg 07,Germany,Landespokal Württemberg,,0,,
Lukoil Chelyab.,,,,,,
Lukoil,Russia,,,0,,
Lumezzane,Italy,Serie D play-out,68,21,26.6,2
Lupa Cast Rom,,,,,,
Lupa Frascati,Italy,,428,16,26.9,0
Lupa Piacenza,,,,,,
Lupa Roma,Italy,Serie D - Girone G,,0,,
Lupo-Martini,Germany,Oberliga Niedersachsen Playoffs,,27,25.3,3
Luqueño,Spain,Primera División R.F.E.F. - Grupo II,3.78,25,27.7,2
Lus. Lourosa,Portugal,Taça de Portugal Placard,1.10,27,29.1,6
Lusitano FCV,Portugal,Taça de Portugal Placard,68,13,27.8,2
Lusitano SAD,Portugal,Taça de Portugal Placard,,3,29.7,1
Lusitano VRSA,Portugal,,,8,20.9,4
Lusitanos,France,Championnat National,5.81,29,25.7,12
Lusitânia,Portugal,Taça de Portugal Placard,1.10,27,29.1,6
Luton Town,England,Championship,18.90,26,27.0,11
Luverdense,Brazil,Campeonato Matogrossense,270,25,26.0,0
Luzenac AP,France,Coupe de France,,11,30.1,6
Luzzara,Italy,,,6,26.5,0
Luçon FC,France,Coupe de France,,22,28.7,1
Luçon VF,,,,,,
Lyngby BK,Denmark,1.Division,6.48,28,24.1,4
Lyngby FC,,,,,,
Lynx FC,Gibraltar,National League Challenge Group,635,22,24.6,12
Lyon La Duchère,France,Championnat National 2 - Groupe C,1.35,23,23.5,9
Lyubertsy,Russia,,,6,29.2,0
Länk FCV,Portugal,Taça de Portugal Placard,,22,26.6,3
Lüneburger SK,Germany,Regionalliga Nord Playoffs,855,24,22.9,8
M-O Oskol,Russia,Russian FNL-2 Group 3,,7,32.4,0
M. Backi Jarak,Serbia,Kup Srbije,9,8,28.8,0
M. Invicta,,,,,,
M. Lipetsk,Russia,1.Division,5.45,28,26.2,0
M. Petah Tikva,Israel,Ligat ha'Al,7.22,28,24.4,8
M. Swallows,,,,,,
M. Tel Aviv,Israel,Ligat ha'Al,16.07,26,26.5,6
MAS Fes,Morocco,Coupe du Trône Marocaine,6.08,35,26.0,7
MASV,Netherlands,KNVB beker,23,14,26.0,1
MB Freetown,Sierra Leone,,,2,31.0,0
MC Algiers,Algeria,Ligue Professionnelle 1,7.83,27,25.5,1
MC El Eulma,Algeria,Coupe d'Algerie,360,22,30.6,0
MC Oran,Algeria,Ligue Professionnelle 1,4.23,27,27.6,1
MDA Chasselay,,,,,,
MFK Karvina,Czech Republic,Fortuna Liga,5.96,29,25.3,15
MFK Košice,,,,,,
MFK Mykolaiv,Ukraine,Ukrainian Cup,,0,,
MFK Pervomaysk,Ukraine,,,1,25.0,0
MIKA Aschtarak,Armenia,Bardzragujn khumb,,0,,
MIKA Ashtarak,Armenia,Bardzragujn khumb,,0,,
MITOS,Greece,Super League 1,11.72,29,26.5,12
MK Dons,England,League One,9.14,24,23.4,8
MK Etanchéité,DR Congo,,,0,,
MKS Piaseczno,Poland,,,11,24.7,0
MLS Pool,United States,,,1,28.0,0
MO Béjaïa,Algeria,Ligue Professionnelle 1,315,27,28.5,0
MOC ´17,Netherlands,,,1,34.0,0
MPKZ Mozyr,,,,,,
MPPJ Selangor,Malaysia,,,0,,
MSC Meppel,Netherlands,,,4,25.3,0
MSK Zilina,Slovakia,Fortuna Liga - Championship Group,5.40,27,21.6,5
MSP Szamotuly,Poland,,,0,,
MSU Billings,United States,,,5,24.2,5
MSV Duisburg,Germany,3. Liga,5.45,28,25.0,5
MTK Budapest,Hungary,Nemzeti Bajnokság,6.35,27,25.3,12
MTK Hungária,,,,,,
MTK,Hungary,Nemzeti Bajnokság,6.35,27,25.3,12
MTZ-Ripo Minsk,,,,,,
MVD Rossii,Russia,1.Division,,0,,
MVV Maastricht,Netherlands,Keuken Kampioen Divisie,3.92,29,22.3,13
MYPA,Finland,Kakkonen - Group A,,26,22.7,1
MZ Hakka,China,China League One,3.20,26,28.0,4
Maasl Maasmechel,,,,,,
Maasmechelen,Belgium,1ste Nationale,540,25,26.1,10
Macarthur,Australia,A-League Men,7.38,24,27.0,6
Macaé,Brazil,Campeonato Carioca - Taça Guanabara,,14,25.8,1
Maccabi Ashdod,,,,,,
Maccabi Haifa,Israel,Ligat ha'Al,15.59,28,26.6,9
Maccabi Herzliya,Israel,Liga Leumit - Relegation Playoff,563,20,24.9,0
Maccabi Netanya,Israel,Ligat ha'Al,8.24,27,24.3,7
Macclesfield,England,,68,20,27.6,2
Maceratese,Italy,Serie C - Girone B,45,16,27.3,2
Machico,Portugal,,,11,28.4,1
Machine Sazi,Iran,Azadegan League,1.24,32,24.8,0
Madalena,Portugal,,,3,38.3,2
Madre P. Daunia,Italy,Serie D play-out,,0,,
Madureira Esporte Clube (RJ),,,,,,
Madureira-RJ,Brazil,Campeonato Carioca - Taça Guanabara,900,45,24.3,0
Mafra,Portugal,Liga Portugal 2,5.20,26,25.3,15
Magreb '90,Netherlands,Derde Divisie Saturday,,0,,
Maidenhead Utd.,England,National League,180,23,26.2,5
Maidstone,England,,23,5,18.0,1
Makedonija,North Macedonia,Prva Makedonska Fudbalska Liga,3.33,23,24.3,3
Maldon/Tiptree,,,,,,
Maldonado,Uruguay,Primera División Apertura,5.18,27,27.2,4
Malmö FF,Sweden,Svenska Cupen,22.28,30,26.3,17
Malutron Esporte Clube (PR),,,,,,
Mamoré-MG,Brazil,,,6,32.8,0
Man City Res.,,,,,,
Man City,England,Premier League,879.57,22,27.4,15
Man Utd Res.,,,,,,
Man Utd,England,UEFA Champions League,711.23,26,28.2,15
Manama Club,Bahrain,AFC Cup,2.14,29,27.8,6
Manchester City,England,Premier League,879.57,22,27.4,15
Manchester United,England,UEFA Champions League,711.23,26,28.2,15
Manfredonia,Italy,Serie D - Girone H,,15,23.3,3
Mangasport,Gabon,CAF Confederation Cup,180,32,26.9,9
Manisaspor,Turkey,,,16,22.7,0
Manly United,Australia,National Premier League - New South Wales,90,24,26.5,2
Mansfield Town,England,League Two,6.64,30,25.9,9
Mantova,Italy,Serie C - Girone A,2.95,28,23.8,2
Manzanese,Italy,Serie D play-off,,3,24.0,0
Mapello,Italy,Serie D - Girone B,,11,26.5,0
Maputo,Mozambique,Moçambola,135,25,26.8,4
Mar Menor FC,Spain,Segunda División R.F.E.F. - Grupo V,1.69,21,26.6,2
Marathón,Honduras,Liga Nacional Clausura,3.44,30,25.2,4
Marbella FC,Spain,Segunda División B - Fase de descenso,810,22,24.7,5
Marc. Stallions,Australia,National Premier League - New South Wales,270,20,27.1,1
Marck,France,Coupe de France,,6,31.0,1
Marconi Stallions,Australia,National Premier League - New South Wales,270,20,27.1,1
Marek Dupnitsa,Bulgaria,Vtora Liga,1.11,25,26.1,0
Margate FC,England,,,21,28.7,2
Maria da Fonte,Portugal,Taça de Portugal Placard,,24,24.6,1
Marialvas,Portugal,,,1,22.0,0
Mariano Keller,Italy,,,0,,
Marila Pribram,,,,,,
Marinhense,Portugal,Taça de Portugal Placard,68,15,24.7,4
Marino Luanco,Spain,Segunda División R.F.E.F. - Grupo I,1.51,20,27.6,1
Marsala 1912,Italy,Serie D play-out,,0,,
Marte,Italy,Serie C - Girone A,2.48,25,24.2,0
Martina Franca,,,,,,
Maryland Bays,United States,,,0,,
Marzotto,Italy,Lega Pro Seconda Divisione - Girone A,,0,,
Marília,Brazil,Copa do Brasil,,17,25.1,0
Mash'al,Uzbekistan,Relegation Superligasi,2.36,20,26.4,1
Mashuk-KMV,Russia,Russian FNL-2 Group 1,1.56,25,23.0,0
Massese,Italy,Serie D - Girone E,,17,23.7,1
Master-Saturn,Russia,U19 M-Liga,468,23,18.5,0
Masvingo Utd.,Zimbabwe,,,0,,
Matelica,Italy,Serie C - Girone B,3.33,24,23.0,1
Matera,Italy,Serie C - Girone C,279,18,27.7,5
Matlock,England,,,17,27.8,1
Matsubara-PR,Brazil,,,0,,
Matsumoto Yama.,Japan,J3 League,5.38,36,25.7,3
Maubeuge,France,Coupe de France,99,25,26.1,5
Maxaquene,Mozambique,,,11,30.9,1
Mazatlán FC,Mexico,Liga MX Clausura,21.15,24,27.3,9
Meda,Spain,Primera División R.F.E.F. - Grupo II,3.78,25,27.7,2
Medjimurje,Croatia,Hrvatski nogometni kup,693,18,22.9,0
Mekelle Kenema,Ethiopia,,,4,29.7,0
Melbourne City,Australia,A-League Men,9.99,26,24.9,7
Melbourne Heart,,,,,,
Melbourne Knights,Australia,National Premier League - Victoria,383,31,25.3,4
Melbourne,Australia,A-League Men,9.99,26,24.9,7
Melfi,Italy,Play-out Serie C,68,13,26.4,3
Melgacense,Portugal,,,3,30.3,2
Merelinense,Portugal,Taça de Portugal Placard,45,16,24.5,2
Mersin IY,Turkey,2.Lig Kirmizi,,0,,
Merthyr Town,Wales,UEFA Cup Winners' Cup,234,21,26.5,5
Mervue United,Ireland,,,12,31.5,0
Mesquita-RJ,Brazil,,,1,35.0,0
Mestre,Italy,Serie D - Girone C,716,29,22.6,3
Met Police,England,FA Cup,,19,26.6,4
Met-Kuz,,,,,,
Met. Krasnoyarsk,,,,,,
Metalac,Serbia,Super liga Srbije,5.74,27,22.1,5
Metalist,Ukraine,Persha Liga,12.02,38,25.9,10
Metall Pikalevo,Russia,,,0,,
Metall-Kuzbass,,,,,,
Metallurg D.,,,,,,
Metallurg Kr.,Russia,,,0,,
Metallurg-Enisey,,,,,,
Metalurg D.,Ukraine,Premier Liga,,0,,
Metalurg Skopje,North Macedonia,Prva Makedonska Fudbalska Liga,,6,26.2,0
Metalurg Z.,Ukraine,Premier Liga,,0,,
Metalurgi R.,Georgia,Erovnuli Liga (bis 2016/17),,0,,
Metalurgs,Latvia,Virsliga,,0,,
Metalurh D.,,,,,,
Metalurh Z.,Ukraine,,,0,,
Meteor Balashi,Russia,,,1,24.0,0
MetroStars,Canada,,,0,,
Metropolitano,Venezuela,Liga de Fútbol Profesional Venezolano,4.66,35,25.5,4
Miami FC,United States,USL Championship,4.01,24,25.9,16
Miami Fusion,United States,,,3,34.3,2
Miami United,United States,US Open Cup,180,17,31.1,14
Micaelense,Portugal,,,4,36.5,1
Michalovce,Slovakia,Fortuna Liga - Relegation Group,3.62,30,22.8,13
Mickleover,England,,90,16,29.8,1
Middelburg,Netherlands,,,5,26.3,0
Middlesbrough FC,England,Championship,48.96,26,26.4,9
Miedz Legnica,Poland,Fortuna 1 Liga,4.50,30,24.2,11
Mighty Barrolle,Liberia,,,3,27.5,0
Milan AC,Japan,,,0,,
Milano City,Italy,Serie D - Girone B,,6,21.2,2
Millonarios,Argentina,Copa de la Liga Profesional de Fútbol,121.25,30,26.7,5
Millwall FC,England,Championship,35.64,22,27.5,10
Milsami,Moldova,Divizia Nationala,2.90,18,28.4,3
Milton Keynes Dons,England,League One,9.14,24,23.4,8
Min. Zacatecas,Mexico,Liga de Expansión MX Clausura,7.13,23,23.1,3
Mineros,Mexico,Liga de Expansión MX Clausura,7.13,23,23.1,3
Minnesota Thunder,United States,USL Championship,,0,,
Minnesota,United States,Major League Soccer,34.52,31,25.4,19
Mirandela,Portugal,Taça de Portugal Placard,68,24,23.8,10
Mirandense,Portugal,,,0,,
Mirandês,Spain,LaLiga2,17.10,25,23.7,5
Mirassol (SP),,,,,,
Mirassol-SP,Brazil,Campeonato Paulista - Série A1,5.92,28,25.0,1
Mixto,Brazil,,,7,27.9,0
Mjällby AIF,Sweden,Svenska Cupen,5.40,28,23.7,9
Mjällby,Sweden,Svenska Cupen,5.40,28,23.7,9
Mlada Boleslav,Czech Republic,Fortuna Liga,6.59,28,24.3,4
Mladost,Serbia,Super liga Srbije,4.66,34,24.3,4
Modena FC,Italy,Serie C - Girone B,7.92,27,27.4,2
Modica Calcio,Italy,,,5,27.8,2
Modrica Maxima,Bosnia-Herzegovina,Prva Liga RS,162,22,21.7,10
Moghreb Tétouan,Morocco,Coupe du Trône Marocaine,3.98,30,25.9,3
Mogi Mirim,Brazil,Campeonato Brasileiro Série B,,1,21.0,0
Mogren,Montenegro,Telekom 1. CFL,,0,,
Molde,Norway,NM-Cup,13.46,32,23.9,5
Molelos,Portugal,,,0,,
Molfetta,Italy,Serie D - Girone H,792,25,24.1,8
Monagas SC,Venezuela,Liga de Fútbol Profesional Venezolano,4.08,34,24.0,5
Monaghan United,Ireland,EA Sports League of Ireland Cup,,2,23.5,0
Monarcas Morelia,Mexico,,,0,,
Moncarapachense,Portugal,Taça de Portugal Placard,,17,26.1,3
Mondeville,France,,,9,30.2,4
Mondinense,Portugal,Taça de Portugal Placard,,6,25.7,0
Monopoli,Italy,Serie C - Girone C,3.80,27,24.7,3
Monsanto,Portugal,Taça de Portugal Placard,,0,,
Montalegre,Portugal,Taça de Portugal Placard,630,26,26.9,10
Montana,Bulgaria,Vtora Liga,1.41,23,23.4,4
Montañeros CF,,,,,,
Monte Alegre-SP,Brazil,,,0,,
Monte Azul-SP,Brazil,,135,19,26.1,0
Monte Gordo,Portugal,,,0,,
Monte. Yamagata,Japan,J2 League,8.42,30,25.4,2
Montebelluna,Italy,Serie D - Girone C,707,27,22.7,0
Montecatini,Italy,Serie D - Girone E,,16,22.5,1
Montemor,Portugal,,,12,23.7,2
Monterosi,Italy,Serie C - Girone C,2.61,27,22.9,4
Monterotondo,Italy,Serie D - Girone G,545,26,23.2,2
Monterrey,Mexico,Liga MX Clausura,77.31,24,26.7,9
Montespaccato,Italy,Serie D - Girone E,891,32,22.4,1
Montevarchi,Italy,Serie C - Girone B,3.04,26,22.4,4
Montpellier HSC,France,Ligue 1,88.70,25,24.8,11
Montreal Impact,Canada,Major League Soccer,26.57,31,23.6,15
Montreal,Canada,Major League Soccer,26.57,31,23.6,15
Montréal,Canada,Major League Soccer,26.57,31,23.6,15
Moor Green FC,England,,,1,41.0,1
Moralo CP,Spain,Copa RFEF,338,22,24.8,7
Mordovia Saransk (-2020),,,,,,
Morecambe FC,England,League One,3.40,26,26.0,13
Moreirense FC,Portugal,Liga Portugal,13.28,26,26.6,18
Morolo,Italy,,,3,21.3,0
Morrinhos-GO,Brazil,Campeonato Goiano,90,29,25.7,1
Morro d'Oro Calcio,Italy,,32,7,24.7,0
Morton,Scotland,Scottish Championship,3.44,23,24.3,6
Mortágua,Portugal,Taça de Portugal Placard,,6,23.2,1
Moskabelmet M.,,,,,,
Moss FK,Norway,PostNord-ligaen Avd. 1,473,24,23.3,5
Mossley AFC,England,,,15,27.6,1
Mosta FC,Malta,Maltese FA Trophy,2.24,26,26.6,14
Mostransgaz,Russia,,,0,,
Motherwell FC,Scotland,SFA Cup,7.90,25,26.3,17
Moto Club MA,Brazil,Copa do Brasil,,31,26.0,0
Motril CF,,,,,,
Moura,Portugal,Taça de Portugal Placard,,9,29.3,6
Mqabba FC,Malta,Challenge League,144,31,23.3,5
Msida SJ,Malta,National Amateur Cup,,47,28.0,2
Muaither SC,Qatar,Amir Cup,1.49,39,29.2,10
Muangthong Utd.,Thailand,Thai League,4.61,28,24.4,5
Mulhouse S-A,,,,,,
Mumbai City,India,Indian Super League,4.50,29,25.7,6
Municipal,Peru,Liga 1 Apertura,5.76,26,25.5,6
Muravera,Italy,Serie D - Girone G,657,25,25.7,2
Murcia Imperial,Spain,Segunda División B - Grupo IV (till 20/21),158,15,20.7,3
Murom,Russia,Russian FNL-2 Group 2,2.79,27,25.5,1
Musgueira,Portugal,,,2,25.5,0
Muçulmana,Mozambique,,,0,,
Mvd City Torque,Uruguay,Primera División Apertura,9.83,29,23.7,6
Málaga CF,Spain,LaLiga2,20.97,28,25.2,6
Mâconnais,France,Coupe de France,360,32,26.9,5
Mérida UD,Spain,Copa del Rey,,0,,
N. Sembilan FC,Malaysia,Malaysia Super League,2.16,28,27.6,5
NA Hussein Dey,Algeria,Ligue Professionnelle 1,3.98,31,26.3,0
NAC Breda,Netherlands,Keuken Kampioen Divisie,6.44,29,23.7,10
NC State,United States,,45,22,21.4,9
ND FC Ljubljana,Slovenia,Prva Liga,,5,37.2,0
ND Gorica,Slovenia,Druga Liga,2.10,23,23.8,6
ND Mura 05,,,,,,
NEC Amateurs,Netherlands,,23,6,23.8,2
NEC Nijmegen,Netherlands,Eredivisie,11.95,25,25.0,13
NECOss,,,,,,
NF United,England,National League,,2,31.5,0
NFC Orlandina,Italy,Serie D - Girone I,,0,,
NIVO Sparta,Netherlands,,,7,26.1,0
NJ-LUSO,United States,,,0,,
NK Aluminij,Slovenia,Prva Liga,4.39,28,23.9,14
NK Ankaran,Slovenia,Druga Liga,45,5,26.4,1
NK Bravo,Slovenia,Prva Liga,4.07,22,22.7,7
NK Brda,Slovenia,Druga Liga,9,11,23.4,0
NK Celje,Slovenia,Prva Liga,6.73,32,24.3,13
NK Dekani,Slovenia,Druga Liga,977,25,21.3,6
NK Domzale,Slovenia,Prva Liga,4.10,25,24.2,12
NK Dugopolje,Croatia,2.HNL,2.04,25,23.1,2
NK Interblock,Slovenia,Druga Liga,,11,33.3,2
NK Istra Pula,Croatia,,,8,33.1,1
NK Istra,Croatia,1.HNL,7.04,27,23.4,14
NK Krka,Slovenia,Druga Liga,1.28,20,23.1,4
NK Lokomotiva,Croatia,1.HNL,17.80,28,24.4,12
NK Maribor,Slovenia,Prva Liga,6.89,25,25.4,11
NK Marsonia,Croatia,Hrvatski nogometni kup,495,25,24.2,6
NK Olimpija,Slovenia,Prva Liga,9.72,29,25.3,13
NK Osijek,Croatia,1.HNL,32.04,30,26.8,9
NK Pajde,Switzerland,2. Liga interregional - Gruppe 5,,4,25.3,1
NK Rudes,Croatia,2.HNL,3.62,26,22.3,5
NK Smartno 1928,Slovenia,Druga Liga,207,13,22.1,0
NK Solin,Croatia,2.HNL,1.73,24,23.0,1
NK Triglav,Slovenia,Druga Liga,2.02,22,21.9,5
NK Trnje Zagreb,Croatia,,167,23,22.2,2
NK Vinogradar,Croatia,,,3,30.7,0
NK Zadar,Croatia,Hrvatski nogometni kup,135,23,24.9,1
NK Zagreb,Germany,,,35,38.1,19
NKK SC,Japan,,,0,,
NS Mura,Slovenia,Prva Liga,6.08,26,24.6,10
NSWIS,Australia,,,1,,0
NY Cosmos,United States,NISA Fall Season Playoffs,,13,28.7,5
NZ Knights FC,New Zealand,A-League Men,,0,,
Nacional (SP),,,,,,
Nacional-MG,Brazil,,,2,31.5,0
Naestved BK,Denmark,2.Division,1.64,26,23.5,2
Naestved IF,Denmark,,45,5,22.3,0
Nafpaktiakos,Greece,Kypello Elladas,293,23,27.4,2
Naftan,Belarus,Pershaya Liga,1.10,21,25.5,3
Nagoya Grampus,Japan,J1 League,16.63,29,27.1,5
Nagyberki,Hungary,Ness Hungary NB II - West,,0,,
Najran SC,Saudi Arabia,King's Cup,1.26,22,29.0,9
Nantwich Town,England,FA Cup,77,15,27.2,4
Napredak,Serbia,Super liga Srbije,6.35,31,25.1,1
Nardò,Brazil,Campeonato Paulista - Série A1,5.45,31,27.3,0
Narnese Calcio,Italy,,68,6,33.2,0
Nart Cherkessk,Russia,Russian Cup,,0,,
Nashville SC,United States,Major League Soccer,25.79,23,27.4,7
Naval 1º de Maio,,,,,,
Navbahor,Uzbekistan,O'zbekiston Superligasi,7.97,25,25.8,5
Navy FC,Thailand,Thai League 2,1.42,29,27.5,5
Naxxar Lions FC,Malta,Challenge League,131,25,26.8,4
Nea Salamis,Cyprus,Kypello Kyprou,3.53,27,25.9,7
Neath,Wales,Cymru Premier Championship Conference,,0,,
Necaxa,Mexico,Liga MX Clausura,27.45,27,26.3,11
Needham,England,,,4,25.0,0
Neerlandia/SLTO,,,,,,
Neftchi Baku,Azerbaijan,Premyer Liqa,7.85,23,26.0,10
Neftekhimik,Russia,1.Division,7.16,25,25.1,2
Neftochimik,Bulgaria,,32,2,17.5,0
Neftyanik,Russia,,,0,,
Negeri Sembilan,Malaysia,Malaysia Super League,2.16,28,27.6,5
Neman Grodno,Belarus,Belarusian Cup,3.67,24,26.4,5
Neptunus,Netherlands,Eerste Klasse D,,9,28.7,1
Ness Ziona,Israel,Liga Leumit,2.50,29,24.8,3
Neuchâtel Xamax,Switzerland,Challenge League,5.94,27,24.8,6
Neva Moskau,Russia,,,1,27.0,0
Neves FC,Portugal,,,2,24.5,1
New Amsterdam,United States,NISA Fall Season,,22,26.2,9
New England,United States,Major League Soccer,36.54,27,26.7,9
