Club name,Country,League,Total Market Value (in M),Squad size,Average age,Number of national team players
AS Pozzuolo Calcio,Italy,,,1,25.0,0
AS Real Bamako,Mali,CAF-Champions League,23,21,28.0,2
AS Red Star 93,,,,,,
AS Rom Youth,Italy,,,9,15.4,2
AS Roma,Italy,Serie A,332.42,28,25.1,18
AS Saint-Priest,France,Championnat National 2 - Groupe C,945,30,23.7,9
AS Saint-Seurin,France,,,0,,
AS Saint-Étienne,France,Ligue 1,96.21,30,25.0,15
AS Sora Calcio,,,,,,
AS Togo Port,Togo,CAF-Champions League,68,17,27.4,3
AS Trencin,Slovakia,Fortuna Liga - Relegation Group,5.60,33,21.8,16
AS Valence,,,,,,
AS Vita Club,DR Congo,,968,36,25.8,10
AS Vitré,France,Championnat National 2 - Groupe A,540,21,27.4,3
ASA Tirgu Mures,,,,,,
ASC Diaraf,,,,,,
ASD Ceriale,Italy,,,7,24.0,1
ASD DAK,Italy,,,0,,
ASD Genova,Italy,,23,17,24.8,1
ASD Sarzanese,Italy,,,0,,
ASD Villafranca,Italy,Serie D - Girone C,158,22,24.0,2
ASDNU,Italy,,,1,24.0,0
ASEC Mimosas,Cote d'Ivoire,CAF Confederation Cup,2.03,43,23.4,3
ASIL Lysi,Cyprus,,585,21,25.1,3
ASM Belfort,France,Championnat National 2 - Groupe B,270,25,25.9,2
ASO Chlef,Algeria,Ligue Professionnelle 1,3.85,31,25.8,0
ASOA Valence,,,,,,
ASV Bergedorf,Germany,Landespokal Hamburg,,28,28.7,4
ASV Cham,Germany,Bayernliga Nord,,26,23.9,3
ASWH,Netherlands,Jack’s League,113,22,23.9,3
ATK,India,Indian Super League Playoffs,4.48,29,26.1,6
AZ Alkmaar,Netherlands,Eredivisie,60.95,27,23.2,12
Aalborg BK,Denmark,Superligaen,12.11,23,24.5,8
Aalesund,Norway,NM-Cup,7.38,27,24.3,8
Aarhus Fremad,Denmark,2.Division,675,25,23.8,0
Aarhus GF,Denmark,Superligaen,17.46,27,24.4,12
Abano,Italy,Serie D - Girone C,77,11,22.5,5
Aberdeen FC Res,Scotland,Challenge Cup,,4,17.8,0
Aberdeen FC,Scotland,Scottish Premiership,10.37,24,25.8,11
Aberystwyth,Wales,Cymru Premier Relegation Conference,747,20,23.8,5
Ac. Chisinau,Moldova,Divizia Nationala (bis 2016/17),,5,25.4,0
Académica Coimbra,Portugal,Liga Portugal 2,5.18,30,26.6,12
Académico Viseu,Portugal,Liga Portugal 2,4.41,28,26.8,13
Accrington,England,League One,1.85,27,24.3,12
Achilles '12,Netherlands,,,2,35.5,0
Achilles '29,Netherlands,Hoofdklasse A Saturday,,26,24.3,6
Achilles 1894,Netherlands,,,30,25.3,1
Achilles Veen,Netherlands,Hoofdklasse A Saturday,68,25,27.7,2
Acireale,Italy,Serie D - Girone I,1.22,28,24.0,2
Acqui 1911,Italy,Serie D - Girone A,32,11,30.2,1
Acri,Italy,,36,18,23.9,0
Adana Demirspor,Turkey,Süper Lig,34.52,30,28.0,16
Adanaspor,Turkey,1.Lig,7.22,26,24.3,10
Adelaide United,Australia,A-League Men,7.13,30,24.2,6
Admira Wacker,Austria,Bundesliga,7.74,25,24.0,9
Admira/Wacker,,,,,,
